"ano","mes","cidade","quantidade.assistente"
"2006","04","Manaíra",1
"2008","07","Patos",5
"2009","12","Campina Grande",134
"2009","10","Campina Grande",130
"2009","11","Campina Grande",130
"2009","09","Campina Grande",110
"2009","04","Campina Grande",108
"2009","05","Campina Grande",107
"2009","08","Campina Grande",107
"2009","06","Campina Grande",106
"2009","07","Campina Grande",106
"2009","03","Campina Grande",103
"2009","02","Campina Grande",100
"2009","01","Campina Grande",96
"2009","09","Sousa",52
"2009","10","Sousa",52
"2009","11","Sousa",52
"2009","02","Sousa",51
"2009","03","Sousa",51
"2009","04","Sousa",51
"2009","05","Sousa",51
"2009","06","Sousa",51
"2009","07","Sousa",51
"2009","08","Sousa",51
"2009","01","Sousa",41
"2009","12","Santa Rita",39
"2009","06","Santa Rita",35
"2009","01","Santa Rita",33
"2009","02","Santa Rita",33
"2009","03","Santa Rita",33
"2009","04","Santa Rita",33
"2009","05","Santa Rita",33
"2009","07","Santa Rita",33
"2009","08","Santa Rita",33
"2009","09","Santa Rita",33
"2009","11","Santa Rita",33
"2009","10","Santa Rita",32
"2009","04","Patos",24
"2009","05","Patos",24
"2009","06","Patos",24
"2009","07","Patos",24
"2009","08","Patos",24
"2009","03","Patos",23
"2009","02","Patos",18
"2009","09","Patos",17
"2009","10","Patos",17
"2009","11","Patos",17
"2009","12","Patos",17
"2009","01","Patos",16
"2009","02","Mamanguape",14
"2009","03","Mamanguape",14
"2009","04","Mamanguape",14
"2009","05","Mamanguape",14
"2009","06","Mamanguape",14
"2009","07","Mamanguape",14
"2009","01","Mamanguape",13
"2009","08","Mamanguape",13
"2009","02","Bayeux",12
"2009","02","Guarabira",12
"2009","03","Bayeux",12
"2009","03","Guarabira",12
"2009","04","Bayeux",12
"2009","04","Guarabira",12
"2009","05","Bayeux",12
"2009","05","Guarabira",12
"2009","06","Guarabira",12
"2009","07","Guarabira",12
"2009","08","Guarabira",12
"2009","09","Guarabira",12
"2009","09","Mamanguape",12
"2009","10","Guarabira",12
"2009","10","Mamanguape",12
"2009","11","Guarabira",12
"2009","11","Mamanguape",12
"2009","12","Guarabira",12
"2009","12","Mamanguape",12
"2009","01","Bayeux",11
"2009","06","Bayeux",11
"2009","07","Bayeux",11
"2009","08","Bayeux",11
"2009","12","Caaporã",10
"2009","06","Caaporã",9
"2009","07","Caaporã",9
"2009","08","Caaporã",9
"2009","09","Bayeux",9
"2009","09","Caaporã",9
"2009","10","Bayeux",9
"2009","10","Caaporã",9
"2009","11","Caaporã",9
"2009","12","Bayeux",9
"2009","03","Caaporã",8
"2009","04","Caaporã",8
"2009","05","Caaporã",8
"2009","11","Bayeux",8
"2009","02","Caaporã",7
"2009","06","Soledade",6
"2009","12","Soledade",6
"2009","01","Caaporã",5
"2009","01","Cabedelo",5
"2009","01","Soledade",5
"2009","02","Cabedelo",5
"2009","02","Soledade",5
"2009","03","Cabedelo",5
"2009","04","Cabedelo",5
"2009","05","Cabedelo",5
"2009","05","Soledade",5
"2009","06","Cabedelo",5
"2009","07","Cabedelo",5
"2009","07","Soledade",5
"2009","08","Cabedelo",5
"2009","08","Soledade",5
"2009","09","Cabedelo",5
"2009","10","Cabedelo",5
"2009","11","Cabedelo",5
"2009","12","Cabedelo",5
"2009","01","Bananeiras",4
"2009","01","Cuité",4
"2009","02","Bananeiras",4
"2009","02","Cuité",4
"2009","03","Bananeiras",4
"2009","03","Cuité",4
"2009","03","Soledade",4
"2009","04","Bananeiras",4
"2009","04","Cuité",4
"2009","04","Soledade",4
"2009","05","Bananeiras",4
"2009","05","Cuité",4
"2009","06","Bananeiras",4
"2009","06","Cuité",4
"2009","07","Bananeiras",4
"2009","07","Cuité",4
"2009","08","Bananeiras",4
"2009","08","Cuité",4
"2009","09","Bananeiras",4
"2009","09","Cuité",4
"2009","09","Soledade",4
"2009","10","Bananeiras",4
"2009","10","Cuité",4
"2009","10","Soledade",4
"2009","11","Bananeiras",4
"2009","11","Cuité",4
"2009","11","Soledade",4
"2009","12","Bananeiras",4
"2009","12","Cuité",4
"2009","01","Sapé",3
"2009","02","Sapé",3
"2009","03","Sapé",3
"2009","04","Sapé",3
"2009","05","Sapé",3
"2009","06","Sapé",3
"2009","07","Sapé",3
"2009","08","Sapé",3
"2009","09","Sapé",3
"2009","10","Sapé",3
"2009","11","Sapé",3
"2009","12","Sapé",3
"2009","01","Cuité de Mamanguape",2
"2009","01","Curral de Cima",2
"2009","01","Solânea",2
"2009","01","Vista Serrana",2
"2009","02","Cuité de Mamanguape",2
"2009","02","Curral de Cima",2
"2009","02","Solânea",2
"2009","02","Vista Serrana",2
"2009","03","Cuité de Mamanguape",2
"2009","03","Curral de Cima",2
"2009","03","Solânea",2
"2009","03","Vista Serrana",2
"2009","04","Aroeiras",2
"2009","04","Cuité de Mamanguape",2
"2009","04","Curral de Cima",2
"2009","04","Solânea",2
"2009","04","Vista Serrana",2
"2009","05","Aroeiras",2
"2009","05","Cuité de Mamanguape",2
"2009","05","Curral de Cima",2
"2009","05","Solânea",2
"2009","05","Vista Serrana",2
"2009","06","Aroeiras",2
"2009","06","Cuité de Mamanguape",2
"2009","06","Curral de Cima",2
"2009","06","Solânea",2
"2009","06","Vista Serrana",2
"2009","07","Aroeiras",2
"2009","07","Cuité de Mamanguape",2
"2009","07","Curral de Cima",2
"2009","07","Solânea",2
"2009","07","Vista Serrana",2
"2009","08","Aroeiras",2
"2009","08","Cuité de Mamanguape",2
"2009","08","Curral de Cima",2
"2009","08","Solânea",2
"2009","08","Vista Serrana",2
"2009","09","Aroeiras",2
"2009","09","Cuité de Mamanguape",2
"2009","09","Curral de Cima",2
"2009","09","Solânea",2
"2009","09","Vista Serrana",2
"2009","10","Aroeiras",2
"2009","10","Camalaú",2
"2009","10","Cuité de Mamanguape",2
"2009","10","Curral de Cima",2
"2009","10","Solânea",2
"2009","10","Vista Serrana",2
"2009","11","Aroeiras",2
"2009","11","Camalaú",2
"2009","11","Cuité de Mamanguape",2
"2009","11","Curral de Cima",2
"2009","11","Solânea",2
"2009","11","Vista Serrana",2
"2009","12","Aroeiras",2
"2009","12","Camalaú",2
"2009","12","Cuité de Mamanguape",2
"2009","12","Solânea",2
"2009","12","Sousa",2
"2009","12","Vista Serrana",2
"2009","01","Alhandra",1
"2009","01","Aroeiras",1
"2009","01","Brejo dos Santos",1
"2009","01","Camalaú",1
"2009","01","Catingueira",1
"2009","01","Guarabira",1
"2009","01","Mãe d'Água",1
"2009","01","Manaíra",1
"2009","01","Uiraúna",1
"2009","02","Alhandra",1
"2009","02","Aroeiras",1
"2009","02","Brejo dos Santos",1
"2009","02","Camalaú",1
"2009","02","Catingueira",1
"2009","02","Mãe d'Água",1
"2009","02","Manaíra",1
"2009","02","Uiraúna",1
"2009","03","Alhandra",1
"2009","03","Aroeiras",1
"2009","03","Brejo dos Santos",1
"2009","03","Camalaú",1
"2009","03","Catingueira",1
"2009","03","Mãe d'Água",1
"2009","03","Manaíra",1
"2009","03","Uiraúna",1
"2009","04","Alhandra",1
"2009","04","Brejo dos Santos",1
"2009","04","Camalaú",1
"2009","04","Catingueira",1
"2009","04","Mãe d'Água",1
"2009","04","Manaíra",1
"2009","04","Uiraúna",1
"2009","05","Alhandra",1
"2009","05","Brejo dos Santos",1
"2009","05","Camalaú",1
"2009","05","Catingueira",1
"2009","05","Mãe d'Água",1
"2009","05","Manaíra",1
"2009","05","Uiraúna",1
"2009","06","Alhandra",1
"2009","06","Brejo dos Santos",1
"2009","06","Camalaú",1
"2009","06","Catingueira",1
"2009","06","Logradouro",1
"2009","06","Mãe d'Água",1
"2009","06","Manaíra",1
"2009","06","Uiraúna",1
"2009","07","Alhandra",1
"2009","07","Brejo dos Santos",1
"2009","07","Camalaú",1
"2009","07","Catingueira",1
"2009","07","Logradouro",1
"2009","07","Mãe d'Água",1
"2009","07","Manaíra",1
"2009","07","Uiraúna",1
"2009","08","Alhandra",1
"2009","08","Brejo dos Santos",1
"2009","08","Camalaú",1
"2009","08","Catingueira",1
"2009","08","Logradouro",1
"2009","08","Mãe d'Água",1
"2009","08","Manaíra",1
"2009","08","Uiraúna",1
"2009","09","Alhandra",1
"2009","09","Brejo dos Santos",1
"2009","09","Camalaú",1
"2009","09","Catingueira",1
"2009","09","Logradouro",1
"2009","09","Mãe d'Água",1
"2009","09","Manaíra",1
"2009","09","Uiraúna",1
"2009","10","Alhandra",1
"2009","10","Brejo dos Santos",1
"2009","10","Catingueira",1
"2009","10","Logradouro",1
"2009","10","Mãe d'Água",1
"2009","10","Manaíra",1
"2009","10","Uiraúna",1
"2009","11","Alhandra",1
"2009","11","Brejo dos Santos",1
"2009","11","Catingueira",1
"2009","11","Logradouro",1
"2009","11","Mãe d'Água",1
"2009","11","Manaíra",1
"2009","11","Uiraúna",1
"2009","12","Alhandra",1
"2009","12","Brejo dos Santos",1
"2009","12","Catingueira",1
"2009","12","Logradouro",1
"2009","12","Mãe d'Água",1
"2009","12","Manaíra",1
"2009","12","Uiraúna",1
"2010","12","Campina Grande",138
"2010","04","Campina Grande",122
"2010","05","Campina Grande",122
"2010","03","Campina Grande",121
"2010","06","Campina Grande",121
"2010","02","Campina Grande",120
"2010","07","Campina Grande",120
"2010","08","Campina Grande",120
"2010","09","Campina Grande",120
"2010","10","Campina Grande",120
"2010","11","Campina Grande",120
"2010","01","Campina Grande",114
"2010","05","João Pessoa",94
"2010","06","João Pessoa",94
"2010","07","João Pessoa",94
"2010","08","João Pessoa",94
"2010","09","João Pessoa",94
"2010","10","João Pessoa",89
"2010","11","João Pessoa",89
"2010","12","João Pessoa",89
"2010","01","Sousa",41
"2010","02","Sousa",41
"2010","03","Sousa",41
"2010","04","Sousa",41
"2010","05","Sousa",41
"2010","06","Sousa",41
"2010","07","Sousa",41
"2010","08","Sousa",41
"2010","09","Sousa",41
"2010","10","Sousa",41
"2010","11","Sousa",41
"2010","05","Santa Rita",18
"2010","04","Santa Rita",17
"2010","01","Santa Rita",14
"2010","02","Santa Rita",14
"2010","06","Santa Rita",14
"2010","11","Santa Rita",14
"2010","03","Santa Rita",13
"2010","07","Santa Rita",13
"2010","08","Santa Rita",13
"2010","09","Santa Rita",13
"2010","10","Santa Rita",13
"2010","12","Santa Rita",13
"2010","02","Bayeux",10
"2010","01","Bayeux",9
"2010","05","Bayeux",8
"2010","06","Bayeux",8
"2010","07","Bayeux",8
"2010","08","Bayeux",8
"2010","04","Bayeux",7
"2010","03","Bayeux",6
"2010","03","Patos",6
"2010","04","Bananeiras",6
"2010","04","Patos",6
"2010","05","Patos",6
"2010","06","Patos",6
"2010","07","Patos",6
"2010","08","Patos",6
"2010","09","Bayeux",6
"2010","09","Patos",6
"2010","10","Bayeux",6
"2010","10","Patos",6
"2010","11","Bayeux",6
"2010","11","Patos",6
"2010","12","Bayeux",6
"2010","12","Patos",6
"2010","01","Bananeiras",5
"2010","01","Cabedelo",5
"2010","01","Patos",5
"2010","02","Bananeiras",5
"2010","02","Cabedelo",5
"2010","02","Patos",5
"2010","03","Bananeiras",5
"2010","03","Cabedelo",5
"2010","04","Cabedelo",5
"2010","05","Bananeiras",5
"2010","05","Cabedelo",5
"2010","06","Bananeiras",5
"2010","06","Cabedelo",5
"2010","07","Bananeiras",5
"2010","07","Cabedelo",5
"2010","08","Bananeiras",5
"2010","08","Cabedelo",5
"2010","09","Bananeiras",5
"2010","09","Cabedelo",5
"2010","10","Bananeiras",5
"2010","10","Cabedelo",5
"2010","11","Bananeiras",5
"2010","11","Cabedelo",5
"2010","12","Bananeiras",5
"2010","12","Cabedelo",5
"2010","01","Caaporã",4
"2010","01","Cuité",4
"2010","01","Soledade",4
"2010","02","Caaporã",4
"2010","02","Cuité",4
"2010","02","Soledade",4
"2010","03","Caaporã",4
"2010","03","Cuité",4
"2010","03","Soledade",4
"2010","04","Caaporã",4
"2010","04","Cuité",4
"2010","04","Soledade",4
"2010","05","Caaporã",4
"2010","05","Cuité",4
"2010","05","Soledade",4
"2010","06","Caaporã",4
"2010","06","Cuité",4
"2010","06","Soledade",4
"2010","07","Caaporã",4
"2010","07","Cuité",4
"2010","07","Soledade",4
"2010","08","Caaporã",4
"2010","08","Cuité",4
"2010","08","Soledade",4
"2010","09","Caaporã",4
"2010","09","Cuité",4
"2010","09","Soledade",4
"2010","10","Caaporã",4
"2010","10","Cuité",4
"2010","10","Soledade",4
"2010","11","Caaporã",4
"2010","11","Cuité",4
"2010","11","Sapé",4
"2010","11","Soledade",4
"2010","12","Caaporã",4
"2010","12","Cuité",4
"2010","12","Soledade",4
"2010","01","Sapé",3
"2010","02","Sapé",3
"2010","03","Sapé",3
"2010","04","Sapé",3
"2010","05","Sapé",3
"2010","06","Sapé",3
"2010","07","Sapé",3
"2010","08","Sapé",3
"2010","09","Sapé",3
"2010","10","Sapé",3
"2010","12","Sapé",3
"2010","01","Aroeiras",2
"2010","01","Camalaú",2
"2010","01","Guarabira",2
"2010","01","Solânea",2
"2010","02","Aroeiras",2
"2010","02","Camalaú",2
"2010","02","Guarabira",2
"2010","02","Solânea",2
"2010","03","Aroeiras",2
"2010","03","Camalaú",2
"2010","03","Guarabira",2
"2010","03","Solânea",2
"2010","04","Aroeiras",2
"2010","04","Camalaú",2
"2010","04","Guarabira",2
"2010","04","Solânea",2
"2010","05","Aroeiras",2
"2010","05","Camalaú",2
"2010","05","Guarabira",2
"2010","05","Solânea",2
"2010","06","Aroeiras",2
"2010","06","Camalaú",2
"2010","06","Guarabira",2
"2010","06","Solânea",2
"2010","07","Camalaú",2
"2010","07","Guarabira",2
"2010","07","Solânea",2
"2010","08","Camalaú",2
"2010","08","Guarabira",2
"2010","08","Solânea",2
"2010","09","Camalaú",2
"2010","09","Guarabira",2
"2010","09","Solânea",2
"2010","10","Camalaú",2
"2010","10","Guarabira",2
"2010","10","Solânea",2
"2010","11","Camalaú",2
"2010","11","Guarabira",2
"2010","11","Solânea",2
"2010","12","Camalaú",2
"2010","12","Guarabira",2
"2010","12","Solânea",2
"2010","01","Alhandra",1
"2010","01","Brejo dos Santos",1
"2010","01","Catingueira",1
"2010","01","Logradouro",1
"2010","01","Mãe d'Água",1
"2010","01","Manaíra",1
"2010","01","Uiraúna",1
"2010","02","Alhandra",1
"2010","02","Brejo dos Santos",1
"2010","02","Catingueira",1
"2010","02","Curral de Cima",1
"2010","02","Logradouro",1
"2010","02","Mãe d'Água",1
"2010","02","Manaíra",1
"2010","02","Uiraúna",1
"2010","03","Alhandra",1
"2010","03","Brejo dos Santos",1
"2010","03","Catingueira",1
"2010","03","Curral de Cima",1
"2010","03","Logradouro",1
"2010","03","Mãe d'Água",1
"2010","03","Manaíra",1
"2010","03","Uiraúna",1
"2010","04","Alhandra",1
"2010","04","Brejo dos Santos",1
"2010","04","Catingueira",1
"2010","04","Curral de Cima",1
"2010","04","Logradouro",1
"2010","04","Mãe d'Água",1
"2010","04","Manaíra",1
"2010","04","Uiraúna",1
"2010","05","Alhandra",1
"2010","05","Brejo dos Santos",1
"2010","05","Catingueira",1
"2010","05","Logradouro",1
"2010","05","Mãe d'Água",1
"2010","05","Manaíra",1
"2010","05","Uiraúna",1
"2010","06","Alhandra",1
"2010","06","Brejo dos Santos",1
"2010","06","Catingueira",1
"2010","06","Logradouro",1
"2010","06","Mãe d'Água",1
"2010","06","Manaíra",1
"2010","06","Uiraúna",1
"2010","07","Alhandra",1
"2010","07","Aroeiras",1
"2010","07","Brejo dos Santos",1
"2010","07","Catingueira",1
"2010","07","Curral de Cima",1
"2010","07","Logradouro",1
"2010","07","Mãe d'Água",1
"2010","07","Manaíra",1
"2010","07","Uiraúna",1
"2010","08","Alhandra",1
"2010","08","Aroeiras",1
"2010","08","Brejo dos Santos",1
"2010","08","Catingueira",1
"2010","08","Logradouro",1
"2010","08","Mãe d'Água",1
"2010","08","Manaíra",1
"2010","08","Uiraúna",1
"2010","09","Alhandra",1
"2010","09","Aroeiras",1
"2010","09","Brejo dos Santos",1
"2010","09","Catingueira",1
"2010","09","Logradouro",1
"2010","09","Mãe d'Água",1
"2010","09","Manaíra",1
"2010","09","Uiraúna",1
"2010","10","Alhandra",1
"2010","10","Aroeiras",1
"2010","10","Brejo dos Santos",1
"2010","10","Catingueira",1
"2010","10","Logradouro",1
"2010","10","Mãe d'Água",1
"2010","10","Manaíra",1
"2010","10","Uiraúna",1
"2010","11","Aroeiras",1
"2010","11","Brejo dos Santos",1
"2010","11","Catingueira",1
"2010","11","Logradouro",1
"2010","11","Mãe d'Água",1
"2010","11","Manaíra",1
"2010","11","Riacho dos Cavalos",1
"2010","11","Uiraúna",1
"2010","12","Aroeiras",1
"2010","12","Brejo dos Santos",1
"2010","12","Catingueira",1
"2010","12","Logradouro",1
"2010","12","Mãe d'Água",1
"2010","12","Manaíra",1
"2010","12","Riacho dos Cavalos",1
"2010","12","Sousa",1
"2010","12","Uiraúna",1
"2011","11","Campina Grande",146
"2011","09","Campina Grande",145
"2011","10","Campina Grande",145
"2011","07","Campina Grande",142
"2011","08","Campina Grande",142
"2011","06","Campina Grande",141
"2011","03","Campina Grande",139
"2011","05","Campina Grande",139
"2011","04","Campina Grande",138
"2011","02","Campina Grande",126
"2011","01","Campina Grande",120
"2011","01","João Pessoa",93
"2011","03","João Pessoa",93
"2011","04","João Pessoa",93
"2011","05","João Pessoa",93
"2011","06","João Pessoa",93
"2011","08","João Pessoa",93
"2011","09","João Pessoa",93
"2011","02","João Pessoa",92
"2011","10","João Pessoa",92
"2011","11","João Pessoa",92
"2011","12","João Pessoa",92
"2011","07","João Pessoa",91
"2011","11","Sousa",52
"2011","01","Sousa",51
"2011","02","Sousa",51
"2011","03","Sousa",51
"2011","04","Sousa",51
"2011","05","Sousa",51
"2011","06","Sousa",51
"2011","07","Sousa",51
"2011","08","Sousa",51
"2011","09","Sousa",51
"2011","10","Sousa",51
"2011","11","Santa Rita",30
"2011","12","Santa Rita",30
"2011","10","Santa Rita",29
"2011","01","Santa Rita",28
"2011","02","Santa Rita",28
"2011","03","Santa Rita",28
"2011","04","Santa Rita",28
"2011","05","Santa Rita",28
"2011","06","Santa Rita",28
"2011","07","Santa Rita",28
"2011","08","Santa Rita",28
"2011","09","Santa Rita",28
"2011","01","Guarabira",12
"2011","02","Guarabira",12
"2011","03","Guarabira",12
"2011","04","Guarabira",12
"2011","05","Guarabira",12
"2011","06","Guarabira",12
"2011","07","Guarabira",12
"2011","08","Guarabira",12
"2011","09","Guarabira",12
"2011","10","Guarabira",12
"2011","11","Guarabira",12
"2011","12","Guarabira",12
"2011","02","Bayeux",10
"2011","03","Bayeux",10
"2011","04","Bayeux",10
"2011","05","Bayeux",10
"2011","06","Bayeux",10
"2011","07","Bayeux",10
"2011","08","Bayeux",10
"2011","10","Bayeux",10
"2011","11","Bayeux",10
"2011","12","Bayeux",10
"2011","01","Bayeux",9
"2011","10","Curral de Cima",9
"2011","11","Curral de Cima",9
"2011","12","Curral de Cima",9
"2011","09","Bayeux",8
"2011","01","Patos",6
"2011","02","Patos",6
"2011","03","Patos",6
"2011","04","Patos",6
"2011","05","Patos",6
"2011","06","Patos",6
"2011","07","Patos",6
"2011","08","Patos",6
"2011","09","Patos",6
"2011","10","Patos",6
"2011","11","Patos",6
"2011","12","Patos",6
"2011","10","Soledade",5
"2011","11","Soledade",5
"2011","12","Soledade",5
"2011","01","Cuité",4
"2011","01","Soledade",4
"2011","02","Cuité",4
"2011","02","Soledade",4
"2011","03","Cuité",4
"2011","03","Soledade",4
"2011","04","Cuité",4
"2011","04","Soledade",4
"2011","05","Cuité",4
"2011","05","Soledade",4
"2011","06","Cuité",4
"2011","07","Cuité",4
"2011","07","Curral de Cima",4
"2011","07","Soledade",4
"2011","08","Cuité",4
"2011","08","Soledade",4
"2011","09","Cuité",4
"2011","09","Curral de Cima",4
"2011","10","Cuité",4
"2011","11","Cuité",4
"2011","12","Cuité",4
"2011","01","Caaporã",3
"2011","01","Cuité de Mamanguape",3
"2011","01","Sapé",3
"2011","02","Caaporã",3
"2011","02","Cuité de Mamanguape",3
"2011","02","Sapé",3
"2011","03","Caaporã",3
